date,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer
4/1/12,10066.32,19461.6,2261.5,2250.98,2566.94,111.73,93.42,26.93,1.9073,81.1
5/1/12,11841.79,23146.07,3841.23,1779.81,2752.95,86.07,48.95,42.64,2.0226,85.53
6/1/12,9364.5,19181.69,2591.95,1065.16,2747.89,100.46,26.3,33.27,2.0093,87
7/1/12,9992.02,20837.12,2249.73,1348.03,2843.11,158.77,14.12,419.32,2.0569,85.92
8/1/12,10783.31,22241.32,1426.02,2334.21,2757.45,89.27,11.22,721.02,2.0297,86.89
9/1/12,9457.67,19890.12,1009.44,1496.66,2432.27,124.17,23.8,846.63,2.0258,87.63
10/1/12,9234.07,21187.49,573.74,794.29,2642.35,202.43,7.07,987.6,2.0299,87.34
11/1/12,8853.55,19707.71,166.14,1573.94,2637.41,163.55,17.73,1071.62,2.136,87.99
12/1/12,9273.96,19684.37,90.02,2311.01,2811.41,138.11,93.55,771.59,2.0428,88.5
1/1/13,6542.31,15757.15,0.26,473.63,2257.9,103.86,132,946.66,1.9916,86
2/1/13,7050.65,15478.94,516.59,1032.22,2127.17,134.19,110.66,648.47,1.9775,83.58
3/1/13,8876.82,18360.47,1910.52,1290.21,2500.2,62.3,61.58,473.77,2.0219,82.97
4/1/13,10470.71,20550.84,3797.34,675.67,2535.73,214.68,40.72,174.56,2.0014,83.3
5/1/13,11502.34,21654.86,4152.65,1096.95,2950.35,59.01,0.17,78.35,2.1386,84.33
6/1/13,9917.28,19331.84,3437.19,728.29,2591.04,157.77,0.16,72.1,2.2322,90.18
7/1/13,9982.57,20357.39,3059.71,692.16,2665.9,188.68,0.01,186.61,2.2765,93.45
8/1/13,10616.03,21214.51,2894.18,1088,2640.52,145.04,0,707.12,2.3855,98.06
9/1/13,10491.9,20745.6,1851.42,1553.75,2789.84,127.49,0,772.81,2.2169,94.79
10/1/13,9626.12,20636.72,819.71,980.88,3219.18,190.66,0,806.76,2.2399,91.47
11/1/13,9125.67,18918.41,349.31,1574.21,3008.83,154.06,0.34,775.65,2.3361,94.71
12/1/13,8796.54,19537.52,23.42,1770.64,3204.88,288.23,2.6,607.48,2.3592,95.87
1/1/14,6891.09,15741.67,17.81,1111.43,2482.32,74.57,5.48,572.73,2.4128,95.6
2/1/14,7169.02,15825.85,1385.83,795.77,2192.74,171.63,0.71,212.43,2.3435,94.72
3/1/14,9236.14,17467.73,3147.58,975.55,2391.71,102.8,1.98,122.63,2.272,91.68
4/1/14,10607.34,19577.25,4134.75,1078.4,2063.4,127.2,1.08,124.63,2.2327,87.63
5/1/14,11385.5,20540.38,3866.21,1435.62,2593.56,197.15,1.3,28.94,2.2413,86.9
6/1/14,10861.39,20288.08,3572,1417.72,2311.93,153.74,0.26,18.68,2.2145,87.05
7/1/14,11629.53,21921.46,3151.18,2602.57,2185.53,146.14,0.42,118.59,2.2638,87.49
8/1/14,9801.29,19224.65,2135.35,1488.9,1908.71,184.26,0,474.68,2.2362,88.77
9/1/14,9336.67,19370.17,1347.5,1327.19,2226.33,180.18,0,494.92,2.4461,89.59
10/1/14,8139.93,18169.79,363.99,1301.08,1890.4,153.79,0,562.9,2.4779,92.87
11/1/14,6843.76,15506.38,81.6,1376.06,1579.65,123.43,20.65,524.26,2.5651,94.97
12/1/14,7578.81,17289.83,73.57,1446.46,1992.82,190.37,68.83,620.58,2.6582,96.64
1/1/15,5832.44,13481.5,35.1,1188.71,1196.69,251.72,113.5,593.47,2.6836,93.33
2/1/15,4991.23,12010.58,346.16,676.72,1268.48,126.63,103.12,206.39,2.8389,98.77
3/1/15,7522.9,16748.83,2211.79,849.86,1387.46,143.38,29,132.94,3.1974,106.96
4/1/15,7545.57,14986.77,2534.26,1088.39,1162.03,162,38.15,32.03,3.0144,103.69
5/1/15,8586.68,16625.68,3612.72,1149.74,930.58,151.76,13.24,6.83,3.1787,104.13
6/1/15,9531.02,18746.13,3762.21,1445.92,1217.94,224.56,0.02,23.41,3.103,105.07
7/1/15,9021.11,18334.88,3224.05,1001.82,1365.21,209.11,1.64,218.01,3.4211,108.32
8/1/15,7318.1,15320.17,2004.89,1132.64,971.29,147.68,0,389.03,3.6198,116.79
9/1/15,7155.68,15467.64,1429.98,788.14,1265.74,119.88,0,580.17,3.9471,129.34
10/1/15,7269.34,15762.37,989.57,911.49,1095.97,170.95,0,919.88,3.8568,127.47
11/1/15,5859.92,13603.59,551.13,671.7,900.82,97.34,0.01,799.06,3.8685,121.97
12/1/15,6466.39,15694.23,281.72,876.17,1274.88,179.11,54.64,1036.37,3.964,122.1
1/1/16,4747.88,11024.62,147.64,811.49,656.11,197.21,25.65,731.13,3.9991,122.64
2/1/16,5242.58,13103.87,715.35,512.91,685.59,146.96,25.83,892.18,4.0163,120.27
3/1/16,7386.05,15845.54,2924.9,510.26,776.31,153.16,44.07,337.94,3.5928,112.65
4/1/16,7738.51,15082.23,3532.37,700.86,960.8,117.58,14.85,58.12,3.4351,110.04
5/1/16,8298.05,16596.33,3600.31,532.94,1341.71,131.87,4.97,4.97,3.6109,108.67
6/1/16,7817.5,16602.95,2971.37,966.24,1082.61,159.45,0,4.4,3.2126,104.88
7/1/16,7028.04,15142.72,2424.56,906.79,996.43,96.57,0,184.3,3.2491,99.55
8/1/16,7225.35,16863.03,1590.49,1068.83,1256,162.32,0,431.9,3.2263,98.17
9/1/16,6560.21,15684.38,606.52,1102.11,1420.28,204.95,0,491.26,3.2613,99.1
10/1/16,5669.26,13594.44,413.79,1110.38,1110.6,141.46,0,190.52,3.1939,95.95
11/1/16,5539.6,14212.82,130.91,1161.05,1233.89,148.53,0,156.35,3.3857,98.84
12/1/16,5905.73,15773.21,273.12,689.95,1769.02,268.23,0,172.11,3.25,97.55
1/1/17,6786.03,14827.88,364.83,1764.35,1620.23,201.51,30.47,243.73,3.1486,93.08
2/1/17,7364.54,15275.98,1404.18,2072.79,1469.34,158.76,33.95,86.2,3.1097,91.5
3/1/17,10011.38,19854.74,3534.06,1311.57,2326.46,169.32,22.03,43,3.1224,92.12
4/1/17,9000.59,17484.57,3948.24,1000.11,1622.61,159.67,5.54,27.09,3.1765,93.26
5/1/17,9702.48,19726.04,4063.42,1084.2,1651.58,224.48,3.72,53.18,3.2266,95.64
6/1/17,9587.65,19535.15,3353.72,1974.96,1365.73,172.44,0,90.79,3.3072,99.23
7/1/17,8355.61,17658.9,2534.39,1559.44,1178.01,181.77,0,356.97,3.1266,97.45
8/1/17,8974.12,19336.8,2236.1,1346.38,1334.7,241.54,0,817.55,3.1491,97.36
9/1/17,8537.62,18533.21,1610.5,1224.51,1608.21,270.93,0,915.59,3.1623,97.51
10/1/17,8465.73,18694.33,939.52,1234.83,1969.73,216.99,0.01,774.49,3.2713,97.91
11/1/17,7004.16,16584.24,815.38,877.01,1522.12,193.59,0,537.1,3.2683,99.87
12/1/17,7273.42,17476.27,913.4,1174.85,1530.43,294.26,7.08,621.33,3.3085,100.99
1/1/18,7551.82,16769.72,594.26,2097.81,1531.07,172.36,15.53,468.91,3.1869,99.48
2/1/18,6829.7,15801.99,1093.26,1526.35,1257.56,219.37,4.04,200.2,3.2477,101.89
3/1/18,9925.02,20228.66,3434.67,1697.3,1677.46,189.6,9.46,105.42,3.3063,102.57
4/1/18,10013.18,19678.34,4112.6,1866.53,1485.28,210,0.01,20.16,3.5072,106.74
5/1/18,11061.86,19271.6,4998.53,1659.63,1640.39,248.97,0.08,9.44,3.7239,110
6/1/18,9556.39,19830.02,4199.19,1259.35,1639.85,196.13,0,26.36,3.8765,110.84
7/1/18,12699.16,21055.29,4078.91,3465.35,1811.67,307.05,0,204.68,3.7574,111.84
8/1/18,10578.19,20084.14,3209.66,1992.93,1642.96,250.93,0,497.28,4.054,113.82
9/1/18,9989.55,19041.02,1814.55,2598.2,1767.36,144.6,0,590.48,4.0493,116.32
10/1/18,11319.45,21671.36,2048.37,3167.49,2071.84,231.69,0,534.35,3.7224,106.32
11/1/18,9934.64,19199.74,1898.53,2084.91,1862.4,169.5,0,635.54,3.8663,106.72
12/1/18,9733.96,19257.63,1572.49,1835.46,1832.51,300.04,11.38,625.48,3.8745,109.46
1/1/19,8151.06,16638.09,768.71,2002.12,1712.96,238.16,64.96,649.03,3.6468,106.18
2/1/19,8079.77,15618.08,1874.53,1493.4,1537.68,138.36,18.68,276.71,3.7568,105.64
3/1/19,9634.16,17308.72,3021.08,1833.52,1401.74,148.86,25.48,149.95,3.9205,107.76
4/1/19,10380.29,19090.65,3304,2941.23,1136.94,191.54,0.14,65.77,3.921,108.96
5/1/19,10903.91,20500.5,3403.86,2161.96,1943.57,176.72,0.04,170.2,3.9232,110.69
6/1/19,9595.38,18306.72,2883.86,1580.08,2062.18,245.52,0,203.23,3.8499,107.71
7/1/19,10895.23,19920.68,2598.55,1557.81,2561.08,216.11,0.32,1016.96,3.8148,106.95
8/1/19,10275.03,19565.55,1764.06,1902.42,2808.88,197.58,0,1242.43,4.1453,110.62
9/1/19,10304.5,18620.81,1633.72,2093.21,2077.34,165.74,0,1057.07,4.1562,112.63
10/1/19,10918.9,19483.91,1825.88,2027.45,2121.62,269.9,0,984.49,4.0183,112.09
11/1/19,8992.14,17609.81,1807.97,1403.23,1820.36,151.21,0,688.23,4.2372,113.51
12/1/19,8992.14,18463.27,1190.96,3203.1,1498.03,186,6.96,708.1,4.0304,111.81
1/1/20,8992.14,14429.72,505.06,1707.99,1741.29,144.06,22.5,354.05,4.2829,113.2
2/1/20,8992.14,15356.45,1695.1,2316.02,1481.07,226.7,20.37,66.61,4.472,118.06
3/1/20,8992.14,18312.35,3758.8,2023.53,1360.33,86.99,13.54,89.86,5.2059,131.08
4/1/20,8992.14,17593.8,5029.45,1836.38,1613.05,231.49,4.7,2.48,5.4866,141.14
,,,,,,,,,,
