date,post_2008,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer,primary_product_exports_z_12,total_exports_z_12,soybeans_z_12,oil_z_12,iron_ore_z_12,wheat_z_12,corn_z_12,usdbrl_z_12,neer_z_12,primary_product_exports_z_3,total_exports_z_3,soybeans_z_3,oil_z_3,iron_ore_z_3,wheat_z_3,corn_z_3,usdbrl_z_3,neer_z_3
11/1/03,0,1616.83,5918.23,130.5,175.96,282.5,0,0,25.92,2.946,130.76,-0.316605134,-0.024447299,-1.055329964,0.12556014,-0.113887389,-0.5488213,-0.101815597,-0.602568125,-0.74877339,-1.402645176,-1.39582598,-1.413189932,-1.366270512,-1.248592467,,-1.3012,1.288616896,1.332277916
12/1/03,0,1652.96,6728.47,86.03,268.93,197.55,0,7.31,47.18,2.8915,133.07,-0.327583385,0.814286299,-1.226988858,1.489212853,-1.157612127,3.316533467,1.024246347,-0.670837623,-0.420251952,-0.65564867,0.003064852,-0.827977191,1.343802851,-1.022640225,1.41421356237309,0.6299,-0.309544985,1.278968882
1/1/04,0,1740.54,5785.34,99.17,229.7,439.9,0,53.9,67.31,2.9345,130.93,-0.229586507,-0.500509295,-1.214733001,0.719288563,1.578007778,3.28611407,1.798585019,-0.361779465,-0.506550512,1.355989772,-0.860501374,-0.325038674,0.126917921,1.327166768,1.40312023608363,1.2134,0.447653683,-0.624701526
2/1/04,0,1618.08,5715.58,127.32,200.68,282.4,0,37.81,70.06,2.9059,137.73,-0.841577346,-0.757987678,-1.169873551,0.379226395,-0.215704506,1.713339893,1.664807578,-0.390796605,0.59038259,-1.018103136,-0.781272917,1.343873707,-1.159355899,-0.241178127,0.248604767277746,0.8376,-0.26486269,1.345582131
3/1/04,0,2452.78,7907.13,453.43,256.67,450.43,0,77.44,107.59,2.8953,135.51,1.84453721,2.020730241,0.338901063,1.373518552,1.387346353,2.4623298,2.432985471,-0.547761516,0.987678094,1.401104358,1.413659018,1.410596101,1.209527188,0.774511003,1.29389234154993,1.4116,-1.002647531,0.277849415
4/1/04,0,1898.81,6581.42,568.56,76.17,211.22,0,31.27,46.38,2.933,135.1,-0.100519669,0.103953266,0.916945512,-1.705011428,-0.980140718,0.548520113,-0.170097305,0.352556095,1.068720213,-0.262631696,-0.170088164,0.992418157,-1.347731319,-1.031645331,-0.861327702819862,-1.1228,1.360654105,-0.877082841
5/1/04,0,2577.22,7921.66,738.76,231.6,301.66,0,7.34,29.06,3.189,142.57,1.782308644,1.61864678,1.680395217,0.763880717,-0.091827885,-0.421725712,-0.866958475,2.979195707,2.437032094,0.907532557,0.718636413,1.295520291,0.544267466,-0.197153844,-1.07730015513784,-0.9484,1.404340071,1.412527531
6/1/04,0,3381.31,9306.49,1045.13,295.31,394.25,0,0.01,76.68,3.085,144.1,2.50027824,2.283273984,2.224432733,1.527377336,0.69441205,-0.713593019,0.983803296,1.442256617,2.043314385,1.257848637,1.231370043,1.323505475,1.024390026,1.22951217,-0.963678082680789,1.3198,0.152203887,0.892687724
7/1/04,0,2778.04,8962.9,658.98,231.72,489.42,0,0,38.07,3.0365,139.4,1.11071438,1.566236696,0.735480225,0.389036069,1.365549968,-0.713991378,-0.72901536,0.80302139,0.908169607,-0.39259695,0.394967236,-0.933093904,-0.705106168,1.230315873,-0.708552313465139,-0.4777,-1.053171888,-1.340270206
8/1/04,0,2966.37,9039.69,580.53,321.93,505.74,51.51,0,49.68,2.927,136.65,1.225849933,1.345210636,0.445153603,1.605022808,1.280640861,-0.713991378,-0.283937478,-0.352517596,0.268769724,-0.299737642,-0.430141219,-0.891421282,1.029023469,0.866559431,-0.707106781186547,-0.3172,-1.349247429,-1.105337986
9/1/04,0,2654.27,8910.07,647.73,70.82,413.06,28.45,0,60.64,2.8608,131.58,0.603277948,1.067871372,0.61791587,-1.939690999,0.388978678,-0.713991378,0.231788079,-1.010099523,-0.863097143,-1.132249759,-1.142791444,0.538458779,-1.322319546,-1.394846035,,1.2128,-1.112926047,-1.326543144
10/1/04,0,2303.63,8177.72,240.32,199.13,407.41,21.68,0,11.81,2.857,130.98,0.000398022,0.457040666,-0.699848592,-0.190976168,0.423450445,-0.713991378,-1.639054128,-1.031694637,-1.077292396,-1.247782461,-1.400397052,-1.397380059,0.0179146,-0.7688462,,-1.3815,-0.765398751,-0.821778105
11/1/04,0,2102.28,8145.72,115.6,192.46,446.75,35.46,0,13.81,2.72,129.05,-0.451123243,0.313315137,-1.11080717,-0.302307977,0.683663623,-0.713991378,-1.443907756,-1.876096381,-1.426035362,-1.100989351,-0.751945977,-0.963562116,0.649804907,1.401685053,,-0.6623,-1.413816804,-1.377317526
12/1/04,0,2055.24,8667.94,97.08,221.45,416.65,34.44,0,10.78,2.656,126.88,-0.640700915,0.620340157,-1.18036722,0.151378533,0.238493006,-0.680598798,-1.325189741,-1.877001814,-1.59100353,-0.914104503,1.412099135,-0.847669215,1.379674299,-0.413981534,,-1.0758,-1.053563425,-1.247929857
1/1/05,0,1770.69,7480.6,76.76,213.39,355.24,17.34,0,23.49,2.6088,124.02,-1.219207889,-0.575558724,-1.233155798,0.057750438,-0.409069474,-0.551569568,-0.745963923,-1.727046586,-1.773365279,-1.402008737,-1.270814568,-1.243219776,0.351130067,-1.338559762,,1.3769,-1.158667678,-1.276749174
2/1/05,0,1860.24,7777.72,90.78,194.29,417.02,13.16,0,35.09,2.5875,120.05,-1.14212579,-0.61866548,-1.162961663,-0.202741409,0.210152701,-0.435953089,-0.247001124,-1.509763869,-1.849818499,-0.295884803,-0.391884607,0.30300084,-1.353905937,0.713468493,,1.2057,-1.045758128,-1.285446512
3/1/05,0,2280.39,9258.18,400.65,117.35,416.99,26.34,0.46,39.52,2.679,125.3,-0.222444356,1.147753381,-0.124653049,-1.080421393,0.249748574,-0.32210385,0.168971343,-0.878318461,-0.942963427,1.39493999,1.396894598,1.413176572,-1.389038948,0.706591543,1.41421356237309,1.0090,1.3787827,0.973848358
4/1/05,0,2833.87,9247.14,613.46,290.64,581.31,17.38,0,0.86,2.528,118.26,0.798351941,1.092930467,0.562137688,1.109958086,2.211484035,-0.322064868,-1.480076698,-1.377158045,-1.536101774,1.276666877,0.699152998,1.142387683,1.267824014,1.414213545,-0.707106781186548,-1.4064,-1.129803454,-0.985205178
5/1/05,0,3006.33,9849.73,527.64,311.85,616.5,37.66,0,1.45,2.4076,111.64,1.040748913,1.656224636,0.351842764,1.231776484,2.146791856,-0.308603374,-1.247376728,-1.698131177,-1.869835791,0.967044299,1.414032282,0.156982396,0.825333749,0.899744758,-0.707106781186548,-0.6907,-1.176225954,-1.212001633
6/1/05,0,3069.68,10220.08,695.74,23.92,686.23,22.2,0,0.34,2.3325,108.35,1.337053671,1.813295661,1.236018145,-2.00218728,2.155363603,-0.301511345,-1.198691508,-1.743871833,-1.873491958,1.000753254,1.116741391,1.216057735,-1.411121676,1.335237804,,-1.1982,-1.120168799,-1.067657201
7/1/05,0,3846.18,11084.28,660.89,850.08,652.82,38.74,0,0.05,2.3787,106.38,2.200783186,2.09522519,1.09114507,2.988916847,1.488895834,-0.301511345,-1.02520043,-1.338927791,-1.733266346,1.4109662,1.352452889,0.452789892,1.328263985,0.034064473,,-0.9337,0.186446014,-1.110697363
8/1/05,0,3839.73,11345.35,686.76,636.21,701.75,0.75,0.01,0.09,2.357,106.82,1.781163531,1.812572545,1.122529217,1.583645573,1.57772382,-0.229811023,-0.876129933,-1.266615642,-1.440407949,0.698241442,0.960969341,0.38107679,0.379330695,1.052289652,1.41421356237309,-0.5455,0.049454375,-0.430342886
9/1/05,0,3258.76,10658.37,543.27,560.06,628.26,37.47,0,0.11,2.2275,104.03,0.821210663,1.059465025,0.603033235,1.053356683,0.825815984,-0.308603374,-0.833532607,-1.670883443,-1.455343727,-1.41414892,-1.310190831,-1.393839055,-0.994195014,-1.069933033,-0.707106781186547,1.0690,-1.401703816,-1.398920446
10/1/05,0,2857.23,9929.5,441.2,189.92,700.52,12.09,0,0.04,2.2518,100.88,0.182049706,0.375956959,0.119511667,-0.550185178,1.189031377,-0.308603374,-0.746914582,-1.369907579,-1.504122288,-1.143842567,-1.236643092,-1.150440895,-1.396112369,0.689131115,-0.707106781186547,-1.3587,-0.479818566,-1.24872298
11/1/05,0,3162.99,10841.58,340.66,476.86,746.98,20.39,0,0.06,2.2035,97.21,0.51113825,0.954148508,-0.403242702,0.589701176,1.29443384,-0.308603374,-0.652167121,-1.413900427,-1.579885604,0.408779659,0.926779502,-1.221650393,0.4283236,1.127187484,,-0.3397,-1.222201309,-1.254657236
12/1/05,0,2945.46,10905.32,233.95,299.87,793.01,60.17,14.15,1.18,2.3355,100.9,0.081197996,0.852246561,-0.991913179,-0.206083087,1.375212818,3.314884332,-0.511062951,-0.480918421,-1.03580608,-0.335428015,0.777399508,-1.236716083,-0.18905218,1.222842458,1.41421356237309,1.4140,1.318518282,0.712863343
1/1/06,0,2741.58,9282.15,179,721.42,607.71,0.47,25.77,6,2.212,100.68,-0.435909709,-0.764614873,-1.381162525,1.346830947,-0.192637428,2.87528216,-0.078108631,-1.110563785,-0.913049912,-1.211309398,-1.413363454,-1.075806211,1.284693271,-1.373387093,1.18276611269269,1.3918,-0.635480362,0.641019407
2/1/06,0,2089.39,8757.14,171.61,235.09,576.83,25.23,8.88,19.28,2.1235,95.44,-1.814669379,-1.658604392,-1.541900608,-0.64598755,-0.706250187,0.607510201,1.18023928,-1.449424629,-1.306462548,-1.37697598,-0.97448859,-0.835800972,-0.851987567,-0.862647569,-1.04688050687206,1.3667,-1.152123483,-1.413317638
3/1/06,0,3159.26,11379.48,620.41,360.58,835.99,26.34,15.17,13.59,2.164,95.29,0.203526298,1.290092127,0.75925933,-0.228015428,2.000367166,1.1814187,1.647478621,-1.161503067,-1.296940716,1.126275857,1.388673163,1.414067398,-0.380553263,1.405775976,-0.20612899266402,0.1164,-0.06911195,-0.736820705
4/1/06,0,2828.18,9822.12,653.13,402.14,545.38,22.67,2.66,23.95,2.087,95.14,-0.529781176,-0.648799311,0.901389703,-0.088886192,-1.545150477,-0.352100063,2.251053497,-1.693581644,-1.265769418,0.303885171,-0.152415382,0.780268668,0.979263667,-0.824421492,-1.22245412932246,1.1826,-1.202996222,-1.224744871
5/1/06,0,2922.46,10277.43,695.94,368.94,457.64,1.31,2.4,33.77,2.307,99.31,-0.304158101,-0.124694572,1.004356424,-0.257978899,-1.992741638,-0.413570632,2.286531851,0.644507565,-0.347902414,-0.34110053,-0.329729509,1.275494334,-0.461317872,-0.960854685,-0.728808530191144,1.2137,1.327454678,1.413502524
6/1/06,0,3308.98,11441.85,510.39,448,790.14,66.13,5.44,39.6,2.165,102.35,0.500277231,1.155118364,0.167893568,-0.076003044,1.113746751,-0.096753884,2.03340953,-0.771825582,0.505517135,1.389794795,1.360681175,-1.379464653,1.284639836,1.367615162,1.40999890604867,1.1087,-0.2342453,1.156038402
7/1/06,0,4655.37,13637.84,978.04,869.94,1069.62,71.12,1.91,72.43,2.177,100.12,2.503444218,2.444665665,2.031424841,2.099617501,2.367899963,-0.57008667,2.578642155,-0.509670818,0.078415122,1.381930548,1.32935072,1.299829326,1.398900077,1.187890428,-0.85818715510421,1.4003,-0.611735725,-0.368234181
