date,USDBRL,reer,USDBRL_z,neer_z,reer_z,brazil_rate_z,us_rate_z,rate_diff_z,vix_z,current_account_z,aec_z,pae_z,fx_gap_z,total_commodity_exports_z,total_export_value_z,total_export_kg_z,cxpi_dynamic_z
1/1/12,2.882405,93.89,-1.223641016,1.577860302,1.568768487,0.187951567,-0.658505106,0.522580093,0.039387322,-2.209922151,0.668237897,0.061713232,0.22384504,-0.124106341,-0.806498726,-1.981240171,1.347285747
2/1/12,2.879,95.13,-1.274729361,1.739101113,1.771147402,0.187951567,-0.658505106,0.522580093,-0.169138493,-0.167416428,0.58619611,-0.522067659,0.734998152,0.078927115,-0.42472653,-1.46660199,1.40125599
3/1/12,3.0017,92.21,-1.224696428,1.511694941,1.465913359,-0.031084298,-0.658505106,0.303800448,-0.428355666,-0.598483706,3.423846022,-0.805899081,2.195850597,0.163763678,0.109754544,-0.743252867,1.023723899
4/1/12,2.922,94.57,-1.182017585,1.336744191,1.274777718,-0.250120162,-0.658505106,0.085020803,-0.238263072,-0.600433578,3.145115203,0.54289525,0.81756667,-0.042925139,-0.119308773,-0.988305033,0.998706834
5/1/12,2.8607,94.91,-1.093584088,1.049431544,0.947057129,-0.396144072,-0.658505106,-0.060832294,0.128097199,-0.604857169,1.948893016,-0.574630068,1.358249715,0.171734511,0.567881179,-0.467795757,0.369845436
6/1/12,2.913,93.57,-1.041955898,0.936473564,0.819216951,-0.396144072,-0.658505106,-0.060832294,0.143074192,-0.854469918,0.565476728,-1.075684104,1.24378923,-0.376901806,-0.176574603,-0.974738981,0.636246852
7/1/12,2.924454545,92.07,-1.055076653,1.00204284,0.927485506,-0.542167982,-0.658505106,-0.206685391,-0.26706498,-1.117702671,1.441053425,-0.76823276,1.325272092,-0.185960748,0.128843154,-0.594867485,0.459755768
8/1/12,2.851033333,93.58,-1.054566257,0.974921003,0.889175094,-0.688191892,-0.658505106,-0.352538488,-0.48365533,-0.02129242,1.635003088,-0.833531512,1.468026036,-0.073694535,0.396083691,-0.465990323,0.134069372
9/1/12,2.929511111,91.35,-1.055645961,0.920677329,0.825046796,-0.688191892,-0.658505106,-0.352538488,-0.530890459,-0.218316824,0.811903885,-1.19891575,1.462808042,-0.079460187,-0.042954334,-0.678437575,0.034736412
10/1/12,2.904656522,93.06,-1.054126884,0.898324167,0.823381126,-0.761203847,-0.658505106,-0.425465036,-0.415682826,-0.918379164,0.695701235,-1.210827724,1.424986145,-0.02471228,0.205197593,-0.06852104,0.576529449
11/1/12,2.905185,93.58,-1.032954466,0.833947059,0.782155791,-0.761203847,-0.658505106,-0.425465036,-0.367295621,-1.473976342,0.270077543,-0.988329628,1.037676028,0.074675591,-0.081131554,-0.252338274,0.829463306
12/1/12,3.099619048,88.94,-1.016676601,0.781193596,0.74551105,-0.761203847,-0.658505106,-0.425465036,-0.297018965,-1.389084143,-0.480335515,-1.048606204,0.777866881,-0.000129357,-0.081131554,-0.308026647,1.201850625
1/1/13,3.128347619,87.6,-1.05274353,0.893853534,0.932066099,-0.761203847,-0.658505106,-0.425465036,-0.734807969,-2.611246601,-0.522926207,-1.217642294,0.917937887,-0.276882704,-0.825587336,-1.273427591,1.762109348
2/1/13,3.035977273,90.62,-1.094566574,1.068506243,1.149852462,-0.761203847,-0.658505106,-0.425465036,-0.670291694,-0.51996497,-0.020191129,-1.0669926,0.988917372,-0.207777396,-0.882853166,-1.645861087,1.5950668
3/1/13,3.0021,92.59,-1.08894728,1.101886965,1.207318079,-0.761203847,-0.658505106,-0.425465036,-0.790107632,-0.680058212,1.070913568,-0.254595714,0.689181281,-0.247099348,-0.329283481,-1.259658445,0.721291452
4/1/13,2.890347619,96.03,-1.073636236,1.051219797,1.172339008,-0.688191892,-0.658505106,-0.352538488,-0.681812458,-0.782761184,0.666484585,1.85245859,-1.450881383,0.049973022,0.090665934,-0.942916936,0.283762139
5/1/13,2.852055,96.46,-1.055108131,0.985948563,1.109043545,-0.542167982,-0.658505106,-0.206685391,-0.737112121,-0.654477052,2.21309125,5.570526182,-4.274929782,-0.112267673,0.300640642,-0.474990848,0.05116616
6/1/13,2.78524,97.31,-0.957874182,0.679561218,0.723024503,-0.542167982,-0.658505106,-0.206685391,-0.30162727,0.16074416,0.718045666,-0.44680041,0.720187754,-0.255094935,-0.157485993,-0.782367385,-0.025503837
7/1/13,2.71736087,99.34,-0.901014371,0.531732304,0.531056027,-0.396144072,-0.658505106,-0.060832294,-0.681812458,-2.199939969,0.242341546,-0.563103127,0.628489117,-0.37691212,0.052488715,-0.386749331,0.403104709
8/1/13,2.6922,101.15,-0.835741644,0.342177488,0.287451777,-0.250120162,-0.658505106,0.085020803,-0.654162626,-0.335949415,0.261789674,-0.134653854,0.23616865,-0.137683986,0.205197593,0.020641168,0.586653177
9/1/13,2.597,104.89,-0.882505797,0.483747516,0.458599378,-0.250120162,-0.658505106,0.085020803,-0.598862962,-0.052461274,-0.08867536,-0.602767751,0.526107236,-0.006775843,0.109754544,-0.272588469,0.683808993
10/1/13,2.7039,100.42,-0.937806384,0.626509713,0.670139478,-0.104096253,-0.658505106,0.2308739,-0.515913467,-0.811252601,-0.212875575,0.142429019,-0.222828927,-0.118518094,0.090665934,-0.077650463,1.056560076
11/1/13,2.5784,106.55,-0.870974669,0.447982456,0.468176981,0.041927657,-0.658505106,0.376726996,-0.802780472,-0.377158655,-0.58895847,-0.074162789,-0.178806077,0.024127638,-0.233840432,-0.398029884,1.289807151
12/1/13,2.452,113.03,-0.830448544,0.359761975,0.39113974,0.041927657,-0.658505106,0.376726996,-0.656466779,-0.06011525,0.130706329,0.010570739,0.045186212,-0.129975135,-0.119308773,-0.40100862,1.513680049
1/1/14,2.4127,116.2,-0.805158546,0.354397216,0.394054662,0.187951567,-0.658505106,0.522580093,-0.650706397,-2.711155727,-0.433826249,0.857890321,-0.984730216,-0.282990788,-0.844675946,-1.199719764,1.212987659
2/1/14,2.3727,118.77,-0.800515068,0.398805499,0.451936698,0.260963522,-0.658505106,0.595506642,-0.509001009,-1.191885123,0.587541071,-0.046729152,0.291218632,-0.121284369,-0.825587336,-1.47155945,0.489855943
3/1/14,2.359830435,117.97,-0.843020081,0.511763479,0.621418628,0.260963522,-0.658505106,0.595506642,-0.581581817,-1.015436237,0.540834593,-0.025855733,0.252028319,-0.458510017,-0.501080969,-1.045559856,-0.125221028
4/1/14,2.2936,120.83,-0.909282237,0.708173266,0.896670609,0.333975477,-0.658505106,0.66843319,-0.655314702,-1.20588346,0.769913765,1.225764721,-0.821472685,-0.166534937,-0.100220164,-0.722073664,-0.223030014
5/1/14,2.25565,125.04,-0.919575475,0.733208808,0.940810866,0.333975477,-0.658505106,0.66843319,-0.85347183,-0.773972208,1.262040984,0.467730014,0.094475274,-0.21905497,0.071577325,-0.189340895,-0.305743441
6/1/14,2.21,129.5,-0.909232916,0.71979691,0.937895944,0.333975477,-0.658505106,0.66843319,-0.961767005,-0.177980661,0.847436754,-0.337387595,0.672422327,-0.186707498,0.033400105,-0.27572825,-0.429523206
7/1/14,2.2847,125.52,-0.918681646,0.74453441,0.965795918,0.333975477,-0.658505106,0.66843319,-0.874209204,-1.830715654,1.037531916,1.167068038,-0.653853166,-0.086824543,0.338817862,0.073182676,-0.319368139
8/1/14,2.2731,124.92,-0.884763587,0.684329893,0.890424347,0.333975477,-0.658505106,0.66843319,-0.737112121,-0.555091773,0.101602621,-0.586613085,0.591171658,-0.398173864,-0.176574603,-0.388191958,-0.320988106
9/1/14,2.1611,132.15,-0.843695356,0.615780195,0.813387105,0.333975477,-0.658505106,0.66843319,-0.739416274,-1.145757549,-0.004383111,1.049570043,-0.982984119,-0.372241839,-0.138397383,-0.043743712,-0.332066326
10/1/14,2.1512,132.6,-0.756312619,0.432782306,0.593102237,0.406987432,-0.658505106,0.741359739,-0.21061324,-1.525284174,0.386842228,0.069984128,0.097558927,-0.588463063,-0.367460701,-0.228354842,-0.243293015
11/1/14,2.1285,132.42,-0.688246173,0.29568291,0.447356105,0.406987432,-0.658505106,0.741359739,-0.746328732,-1.66357959,-0.264594866,-0.764586451,0.603258821,-0.625412742,-0.882853166,-1.016686556,-0.432750446
12/1/14,2.1773,127.36,-0.627000222,0.211933062,0.379063632,0.553011342,-0.658505106,0.887212835,-0.41453075,-1.562273541,0.003377778,0.125855838,-0.116226877,-0.677495452,-0.539258189,0.29409136,-0.524158454
1/1/15,2.2475,123.83,-0.626406556,0.296577036,0.583524634,0.699035252,-0.658505106,1.033065932,-0.08849315,-2.324498972,0.835748237,-0.854985621,1.15134819,-0.751902271,-1.264625362,-1.054570865,-0.640227537
2/1/15,2.1885,127.33,-0.505154674,0.046221618,0.279539844,0.699035252,-0.658505106,1.033065932,-0.459461727,-0.975216484,-0.851859102,-1.172062803,0.736747867,-1.095178244,-1.550954509,-1.339021948,-0.697084444
3/1/15,2.1551,128.27,-0.286528305,-0.331397804,-0.186847778,0.845059161,-0.658505106,1.178919029,-0.585038046,-0.50954625,-0.42786696,-0.91511896,0.675188548,-0.72833633,-0.653789848,-0.147486492,-1.137184201
4/1/15,2.1679,128.25,-0.325309632,-0.232745848,-0.027359868,0.991083071,-0.658505106,1.324772126,-0.737112121,-0.452999955,1.361239116,-0.103081316,0.669862429,-1.113681963,-0.978296215,-0.447345747,-1.291060254
5/1/15,2.1475,130.06,-0.329700353,-0.27298154,-0.058591182,0.991083071,-0.658505106,1.324772126,-0.754393266,0.171628521,0.703388067,-0.206515126,0.489393833,-0.882938311,-0.672878458,-0.116509082,-1.246640111
6/1/15,2.1571,128.78,-0.284492614,-0.329013467,-0.104397109,1.137106981,-0.658505106,1.470625223,-0.639185634,0.260013028,0.59440911,0.243854115,0.022475126,-0.595959441,-0.272017652,0.492952796,-1.198656039
7/1/15,2.14912,127.65,-0.214122112,-0.412167231,-0.192261206,1.283130891,-0.658505106,1.61647832,-0.638033557,-0.516239841,0.259186113,-0.11077754,0.212752181,-0.747122659,-0.348372091,0.694501074,-1.304626526
8/1/15,2.1377,129.69,-0.010115328,-0.687856233,-0.577447412,1.283130891,-0.658505106,1.61647832,-0.052778784,0.529764757,-0.721762859,-0.947416837,0.581559644,-1.147108303,-0.921030385,-0.315572716,-1.220714543
9/1/15,2.0955,132.4,0.265599553,-1.021663457,-1.026761916,1.283130891,-0.658505106,1.61647832,0.517498998,0.526126935,-0.261901811,-0.919694163,0.74938803,-1.122308781,-0.882853166,0.449503907,-1.11470584
10/1/15,2.0879,131.81,0.261799128,-1.027624301,-1.004691788,1.283130891,-0.658505106,1.61647832,-0.356926934,-0.063782174,-0.741808077,-0.70453446,0.34606811,-0.965177752,-0.825587336,0.434312966,-1.208706445
11/1/15,2.0312,133.87,0.190341577,-0.888736652,-0.765251714,1.283130891,-0.658505106,1.61647832,-0.423747361,0.275291878,-0.635651367,-0.810378286,0.489735618,-1.132651886,-1.245536752,-0.426845279,-1.308866164
12/1/15,1.9808,136.68,0.249814355,-0.916752615,-0.778993492,1.283130891,-0.515089439,1.543551771,-0.214069469,1.423300986,-0.28954135,1.878976883,-1.878452846,-0.988613734,-0.844675946,0.997425036,-1.392477278
1/1/16,1.9311,140.61,0.375418395,-0.963545235,-0.794817358,1.283130891,-0.515089439,1.543551771,0.44146196,-0.359056856,-1.040720387,-0.271587305,-0.184585042,-1.301625708,-1.741840607,-0.781024402,-1.391097034
2/1/16,1.882,143.28,0.320640171,-0.891120989,-0.68363388,1.283130891,-0.515089439,1.543551771,0.303212801,0.879694067,-1.059858015,-0.765676211,0.269226133,-1.070929501,-1.340979801,-0.059511352,-1.358794067
3/1/16,1.9652,138.31,0.145364992,-0.691134697,-0.398804296,1.283130891,-0.515089439,1.543551771,-0.465222108,0.819218925,0.061549908,-0.929663653,0.894980572,-1.020612586,-0.825587336,0.339174802,-1.311145648
4/1/16,1.8988,141,0.037682187,-0.602616174,-0.263052184,1.283130891,-0.515089439,1.543551771,-0.643793939,1.07217847,-0.042712226,-0.182768446,0.152856801,-1.027529305,-0.959207605,0.119110465,-1.25547499
5/1/16,1.8002,146.9,0.009613097,-0.561486355,-0.188513448,1.283130891,-0.515089439,1.543551771,-0.580429741,1.64410219,0.971289557,-0.056818547,0.462326822,-0.976808072,-0.672878458,0.558196178,-1.247053102
6/1/16,1.7691,147.88,-0.053304734,-0.4437597,-0.02194644,1.283130891,-0.515089439,1.543551771,-0.244023454,0.474149744,-0.156140917,-0.142229807,0.067172794,-1.004914335,-0.672878458,0.058279908,-1.250777926
7/1/16,1.7852,147.11,-0.170780552,-0.222314372,0.321598014,1.283130891,-0.515089439,1.543551771,-0.77513064,0.116450047,-0.92478912,-0.389295604,-0.025708524,-1.17574678,-0.959207605,-0.008588134,-1.155783837
8/1/16,1.7735,147.37,-0.218125666,-0.16836874,0.421954636,1.283130891,-0.515089439,1.543551771,-0.862688441,0.969446395,-0.86403583,-0.923044111,0.498835174,-1.006995746,-0.615612628,0.447759356,-1.013368292
9/1/16,1.7269,150.1,-0.184985524,-0.202047505,0.35241291,1.283130891,-0.515089439,1.543551771,-0.65301055,0.871283424,-0.557729081,-0.952714919,0.655621169,-1.069631971,-0.844675946,0.385215278,-0.947004683
10/1/16,1.7068,149.35,-0.235017859,-0.088195398,0.510651568,1.210118936,-0.515089439,1.470625223,-0.610383726,0.335243174,-0.928622728,0.513524988,-0.87127983,-1.319207335,-1.245536752,-0.540586995,-0.826855044
11/1/16,1.6881,149.94,-0.124218258,-0.209498559,0.337838297,1.210118936,-0.515089439,1.470625223,-0.535498764,1.144120025,-0.505954422,-0.285057252,0.053308286,-1.075088196,-1.131005093,-0.378971784,-0.258024679
12/1/16,1.6597,153.98,-0.116955163,-0.165090276,0.401966595,1.137106981,-0.371673771,1.324772126,-0.854623907,-0.054061915,-0.735481295,3.048207282,-3.159327196,-0.875237711,-0.825587336,-0.109972528,-0.100938228
1/1/17,1.6181,157.63,-0.2273978,0.023272372,0.677634994,0.918071116,-0.371673771,1.105992481,-0.953702471,-0.635473073,-1.228394342,0.296016372,-0.794249331,-0.431402171,-1.016473434,-0.293507861,-0.262477161
2/1/17,1.5906,159.59,-0.29294573,0.109108515,0.792566229,0.699035252,-0.371673771,0.887212835,-0.962919081,1.24289415,-0.722462675,-0.227083657,-0.092102238,-0.283029982,-0.921030385,-0.611406528,-0.386755806
3/1/17,1.6115,161.6,-0.276103179,0.066190443,0.726772261,0.699035252,-0.228258104,0.814286287,-0.920292257,1.363611614,0.08597893,0.228295204,-0.177186543,-0.251018753,-0.042954334,0.764962256,-0.623973583
4/1/17,1.7988,148.79,-0.270256352,0.033107763,0.660145458,0.406987432,-0.228258104,0.522580093,-0.777434793,1.092637577,-0.509646534,-0.309268326,0.074385264,-0.450916684,-0.501080969,-0.423690857,-1.173642472
5/1/17,2.1721,128.25,-0.218375363,-0.077167838,0.511484403,0.406987432,-0.228258104,0.522580093,-1.040108195,1.830271335,-0.217478063,-0.537073973,0.410431012,-0.477484065,-0.081131554,0.928940107,-1.214048127
6/1/17,2.2655,127.57,-0.157321813,-0.211286812,0.29536371,0.114939612,-0.084842437,0.157947351,-1.080430867,1.237073636,-0.534097494,-0.178414376,-0.058238339,-0.449872885,-0.119308773,0.943686505,-1.263828866
7/1/17,2.3936,120.35,-0.220621682,-0.117701572,0.437778502,-0.177108207,-0.084842437,-0.133758843,-1.109232775,0.118341714,-0.487005067,-0.090928121,-0.120179985,-0.675230449,-0.46290375,0.515600877,-1.072344954
8/1/17,2.306642857,126.29,-0.259799028,-0.081042386,0.477754584,-0.177108207,-0.084842437,-0.133758843,-0.911075647,1.019939356,-1.045498497,-0.260986224,-0.196507987,-0.534577426,-0.157485993,0.981642619,-0.905046813
9/1/17,2.3119,128.63,-0.271236917,-0.090281693,0.444024765,-0.469156027,-0.084842437,-0.425465036,-1.088495401,0.912929203,-0.670184715,-0.728535753,0.398680061,-0.401761151,-0.310194871,0.614519867,-0.976655205
10/1/17,2.32954375,129.31,-0.23119193,-0.123066331,0.408212858,-0.688191892,-0.084842437,-0.644244682,-1.124209767,0.64029632,-0.794377849,-0.418105945,0.056166788,-0.357360475,-0.272017652,0.654999193,-1.004071713
11/1/17,2.2051,133.81,-0.18288313,-0.204431842,0.297445798,-0.688191892,-0.084842437,-0.644244682,-1.076974638,0.257830336,-0.648484732,-0.289796146,-0.002311079,-0.560680666,-0.672878458,0.108694524,-0.870737962
12/1/17,2.072647368,140.88,-0.159774016,-0.259569643,0.215827964,-0.834215802,0.05857323,-0.863024327,-1.109232775,0.36475318,-0.678644142,1.217555975,-1.424089406,-0.411217232,-0.501080969,0.114685113,-0.713742192
1/1/18,1.95777619,148.05,-0.217466025,-0.208604432,0.29369804,-0.834215802,0.05857323,-0.863024327,-1.017066669,-0.873706718,-1.078576149,0.130738073,-0.576627542,-0.062282876,-0.634701238,-0.073463964,-0.55333769
