date,corn_kg,soybeans_kg,sugar_kg,iron_kg,oil_kg,coffee_kg,total_primary_exports,soybean_price,oil_price,iron_price,wheat_price,corn_price,coffee_price,sugar_price
5/1/04,245828520,2667730435,823029097,11966408280,1187012919,104734285,16994743536,347.87,37.54,16.39,143.18,129.29,65.21585714,6.6225
6/1/04,618962796,3712593617,1590820523,16393408469,1363633687,106227331,23785646423,320.23,35.68,16.39,136.86,123.28,69.51227273,7.514285714
7/1/04,309972094,2314085166,1573667710,21648891535,1097481810,101206705,27045305020,289.79,37.99,16.39,132.39,104.49,63.26595455,8.165714286
8/1/04,410178868,2002973711,1620911307,22481829256,1490287121,132604405,28138784668,225.79,41.92,16.39,122.06,104.09,61.70118182,7.879090909
9/1/04,527483728,2291493611,1701191319,18211531104,276974815,126925006,23135599583,206.45,41.72,16.39,126.82,97.73,66.59909091,8.674285714
10/1/04,116543808,920481445,1575160957,17241884161,815669415,142061886,20811801672,193.43,47.04,16.39,123.06,93.42,65.8872381,8.963809524
11/1/04,145004913,485045852,1553858549,19290371612,728253076,146533567,22349067569,195.82,42.33,16.39,127.13,93.76,72.994,8.666
12/1/04,113624801,400230462,1460419998,17624761900,865132121,135991880,20600161162,198.59,39.13,16.39,123.55,95.61,84.15065217,8.795238095
1/1/05,248121981,351945415,1118118740,15184509886,1126020463,114107000,18142823485,195.66,43.16,28.11,122.78,96.04,86.10242857,8.922
2/1/05,376504941,413762800,1471796751,17560691672,830250145,117357698,20770364007,197.59,44.46,28.11,123.13,94.36,96.95415,9.323684211
3/1/05,400812718,1833265308,1339712471,17557605651,513325958,129507587,21774229693,233.18,51.13,28.11,129.96,100.01,109.1636957,8.895
4/1/05,9492011,2698128552,1081892423,19510789765,1032840789,116713472,24449857012,228.76,50.91,28.11,120.06,96.47,105.8970952,8.525714286
5/1/05,13775338,2297422127,1838515920,17078551013,1149784528,107275515,22485324441,233.46,48.09,28.11,119.15,95.36,106.7375909,8.511428571
6/1/05,3229524,2951573798,1851904856,18271416025,84371694,109094686,23271590583,254.74,54.08,28.11,122.47,97.62,102.8160909,9.033181818
7/1/05,501531,2690613994,1805049405,18600783758,3173935271,93208886,26364092845,253.35,56.44,28.11,130.16,105.66,94.31442857,9.5975
8/1/05,1232612,2752432407,1842262651,20603806861,1971451204,127703531,27298889266,230.43,61.92,28.11,131.56,99.29,91.33491304,9.875217391
9/1/05,2152062,2203801429,1656220572,18069058618,1542956864,98391942,23572581487,212.02,61.95,28.11,137.39,97.07,83.70572727,10.81047619
10/1/05,589626,1792146305,1377356598,18879562080,533101885,116332327,22699088821,211.17,58.29,28.11,143.07,101.55,87.8477619,11.61285714
11/1/05,283950,1359158578,1551544586,20763765220,1405393891,117138938,25197285163,210.9,55.05,28.11,136.35,95.98,90.85513636,11.808
12/1/05,14719624,952837150,1203730955,22081603935,950188970,109174133,25312254767,216.54,56.59,28.11,139.99,102.68,91.06527273,13.92714286
1/1/06,60538452,716147470,1016657733,17136921055,2377368600,100814389,21408447699,214.01,62.34,33.45,144.57,102.79,105.9556364,16.187
2/1/06,174554633,720499730,944562229,17415842842,680307217,108682505,20044449156,214.37,59.9,33.45,158.89,106.94,102.27845,18.05263158
3/1/06,121211546,2654096632,1414193376,23394978648,1048518498,107564639,28740563339,212.71,61.36,33.45,155.79,104.95,97.44230435,17.08217391
4/1/06,207887095,2915020907,758191448,15822450660,1182360139,97592415,20983502664,208.9,68.18,33.45,161.21,107.91,98.88805,17.46263158
5/1/06,296639554,3170606679,936960693,13117250978,1001681559,105940990,18629080453,217.36,68.92,33.45,176.6,110.62,94.78426087,16.90045455
6/1/06,346153752,2288992125,1818419192,20872630854,1111012115,101220050,26538428088,216.5,68.45,33.45,176.92,109.61,90.27368182,15.68909091
7/1/06,628777213,4376614144,2131676126,29780925685,2133813146,107672347,39159478661,217.25,72.47,33.45,181.35,114.31,92.8467619,15.857
8/1/06,595739178,2901473419,1771179410,22280138559,1713303968,147643642,29409478176,203.84,71.77,33.45,165.13,115.28,100.2878696,12.97956522
9/1/06,379068109,1993138783,1537757635,20549065387,2383870621,143528465,26986429000,199.31,62.09,33.45,164.94,120.27,100.0079524,12.3135
10/1/06,372518093,1681692005,2292759581,22942420007,1531828814,157459264,28978677764,217.89,57.99,33.45,182.43,142.26,99.993,11.50909091
11/1/06,450163479,998322963,1967634699,20898332317,1696305121,170197622,26180956201,244,58.45,33.45,182.3,164.11,108.6230909,11.732
12/1/06,304750241,471107199,2277964142,18315785540,2331172040,132535317,23833314479,243.31,60.9,33.45,179.53,160.72,112.938619,11.6965
1/1/07,462810455,528506937,1802859089,22102204307,2134343780,125312803,27156037371,255.87,53.71,36.63,172.57,165.16,111.048,10.9035
2/1/07,357003927,774834158,1137045978,19134819769,1655141086,121419599,23180264517,278.04,57.71,36.63,175.27,177.38,109.14505,10.57157895
3/1/07,301614043,2054187593,1161677885,21303470283,1690029261,129935082,26640914147,276.96,60.64,36.63,173.31,169.58,105.0565,10.36681818
4/1/07,592294404,3165241394,1216642684,20070776946,2030895386,117054834,27192905648,270.39,65.18,36.63,178.56,152.63,104.1393333,9.594
5/1/07,669318320,3152426426,1329471641,22499797667,1575604819,119514440,29346133313,283.21,65.24,36.63,178.01,160.14,104.5026522,9.086363636
6/1/07,802960340,3074275644,1701056005,18898483954,1325386038,111343257,25913505238,302.83,68.1,36.63,206.52,164.54,111.334381,9.26047619
7/1/07,1038985018,3093335404,1894336959,27266930595,1765847698,112271913,35171707587,313.48,73.43,36.63,222,147.22,110.0967727,9.895714286
8/1/07,1353122210,2673948181,2182779598,24992028138,2049606166,124948085,33376432378,309.01,70.35,36.63,240.69,151.03,112.4374783,9.613043478
9/1/07,1364940238,1816717965,1936975648,22789512526,1703018296,119800366,29730965039,347.56,76.62,36.63,297.95,160.13,117.4655,9.851052632
10/1/07,1813946599,2024834226,1950418151,25106766211,2130327807,148816716,33175109710,358.4,82.12,36.63,303.63,164.11,121.2960435,9.994782609
11/1/07,1274799082,788030352,1660611123,22341102397,1467550701,141775451,27673869106,389.02,91.32,36.63,286.5,171.11,119.5157727,9.896
12/1/07,901659614,519084965,1370683750,22942124617,2446049839,120705351,28300308136,423.08,89.85,36.63,339.23,180.28,124.2117143,10.44631579
1/1/08,392032591,599607207,1207227195,24520920568,1097528606,114185729,27931501896,461.72,90.77,60.8,336.12,206.56,127.5655217,11.65952381
2/1/08,329715065,425132139,1228406534,23155257304,1124205307,122190149,26384906498,508.22,93.38,60.8,393.87,220.05,144.7370952,13.6075
3/1/08,655084397,1403944693,909422825,14496817170,609906212,118245682,18193420979,495.69,101.68,60.8,403.81,233.93,140.9864762,12.8765
4/1/08,511532521,3346499944,951223588,17734886761,276189284,120553966,22940886064,482.79,108.74,60.8,326.85,246.64,131.8786818,12.52272727
5/1/08,694657120,4442112247,1464308544,35113043186,3013998103,100146097,44828265297,489.09,122.95,60.8,288.42,243.53,132.0807727,10.9347619
6/1/08,364273643,3544441524,1813269957,25591778512,2321920042,100640899,33736324577,552.47,131.63,60.8,314.16,287.13,135.7058095,12.0652381
7/1/08,377463610,3981781536,2046503470,27131551809,1776947151,105424553,35419672129,554.15,132.54,60.8,299.43,267.14,137.7191304,13.20772727
8/1/08,293280042,2358357215,1871482750,26304268183,2416222378,121747495,33365358063,471.07,114.37,60.8,304.16,235.16,136.302381,13.68142857
9/1/08,274319385,1862074413,1871201453,29232786719,1607475788,159548250,35007406008,433.38,99.83,60.8,263.05,233.95,131.9016818,14.02047619
10/1/08,398863117,1061519150,2205107535,26737568449,2131229315,178451198,32712738764,338.78,71.93,60.8,202.77,183.02,113.1413478,11.70217391
11/1/08,774984188,723592745,1954458440,17914269559,2568323259,171472166,24107100357,329.14,53.19,60.8,194.11,164.3,112.5494,11.82842105
12/1/08,1366455947,750385331,1944093339,13750599700,3643867407,163901054,21619302778,318.81,40.19,69.9826087,188.84,158.91,107.7238696,11.32
1/1/09,1328223668,614533775,1925573273,17514932668,1767122764,125426873,23275813021,364.72,42.85,72.50909091,211.28,173.3,114.2146818,12.244
2/1/09,750814401,689462091,1430970651,17479044439,2333315657,137428497,22821035736,341.27,41.37,75.59,195.22,163.4,114.7029,13.31210526
3/1/09,451930223,2642917362,1297536606,22145797118,1594389881,138937959,28271509149,333.66,46.43,64.07272727,199.1,164.58,112.8563182,12.92818182
4/1/09,404360678,4493192256,1300033053,23474179460,2160932829,139335836,31972034112,374.47,49.76,59.78181818,200.89,168.8,117.2659545,13.46952381
5/1/09,299977476,4679252417,2149905356,15332000414,2342110106,122358744,24925604513,422.36,58.03,62.69047619,227.19,180.07,128.0159524,15.466
6/1/09,159972938,6174379469,2236702194,21381658161,1827848355,141130153,31921691270,445.11,68.7,71.65909091,227.31,179.39,126.98,16.57590909
7/1/09,154273143,3347247694,2323060187,25439411944,3397860060,116852365,34778705393,398.09,64.88,83.95217391,195.33,151.8,120.1316957,17.80454545
8/1/09,372224514,2979620776,2101883227,23297776406,3431944207,143946665,32327395795,408.96,71.8,97.66666667,179.55,152.04,126.5387619,21.72
9/1/09,716327295,1830429968,2554846726,28244132638,1601054750,146707010,35093498387,349.05,68.15,80.71363636,156.93,150.59,126.1036818,23.45142857
10/1/09,817933732,722695249,2251780979,25624799801,2698626655,144162084,32259998500,354.86,74.01,86.78636364,163.73,167.28,130.2526364,23.16090909
11/1/09,1087834675,185808402,2477934380,21831171984,2338651152,146486907,28067887500,370.71,77.34,99.25714286,177.61,171.69,127.3920476,22.769
12/1/09,1238026742,203144890,2227241119,24188583433,1873562540,141688205,29872246929,379.3,74.69,105.2478261,171.16,164.61,131.4438696,24.90272727
1/1/10,880249263,93039825,1779101167,21081548368,2128814445,124980124,26087733192,358.97,77.1,125.9142857,167.82,167.34,132.0408571,21.90526316
