date,corn_kg,soybeans_kg,sugar_kg,iron_kg,oil_kg,coffee_kg,total_primary_exports,soybean_price,oil_price,iron_price,wheat_price,corn_price,coffee_price,sugar_price
11/1/22,5889630806,2524911788,3344044040,29922530496,8209785026,216693910,50107596066,529.75,86.54,94.56818182,344.33,320.93,177.3812273,19.40590909
12/1/22,6244707593,1935960091,2201650505,31920070500,8345888245,182370755,50830647689,541.83,78.31,111.4090909,323.65,302.24,175.0025455,20.065
1/1/23,6139944565,839588743,2023734521,24573099914,6205620675,169796836,39951785254,555.51,81.08,122.4318182,320.1,302.84,173.5257273,19.94318182
2/1/23,2274230769,5016935589,1144373176,23302270410,2378102827,122774884,34238687655,561.29,80.65,127.075,332.41,298.25,191.8431,21.4035
3/1/23,1335257523,1.32E+10,1825600686,27145767022,11003687594,163766379,54674079204,547.23,76.96,127.9782609,309.43,284.96,187.8109565,20.96173913
4/1/23,470805335,1.43E+10,969242635,24872290331,4758449412,138403119,45509190832,546.87,82.02,117.125,312.81,291.18,195.6439,24.582
5/1/23,384884759,1.56E+10,2407368184,35048724998,7114761992,141459474,60697199407,508.35,74.07,104.5217391,299.44,268.17,190.8505652,25.72956522
6/1/23,1034282002,1.37E+10,2866766422,34226187142,5714628923,138966887,57680831376,526.3,73.34,113.0909091,282.28,266.94,184.8071364,24.76227273
7/1/23,4230622740,9695932746,2930225168,31710451155,7424093889,140751552,56132077250,555.11,78.84047619,113.9761905,278.62,235.2719473,173.721,24.00809524
8/1/23,9363475834,8386951274,3625642297,37328703459,7618702413,197875587,66521350864,510.15,84.22130435,109.6086957,241.41,207.6758887,167.7498261,24.19304348
9/1/23,8746382268,6398078313,3188456073,35590988014,7685413899,178161560,61787480127,487.15,91.71761905,120.4285714,229.39,223.8476664,165.6797619,26.56380952
10/1/23,8448437670,5600055265,2871544466,33593348338,7124455371,250156966,57887998076,471.93,87.73484848,118.75,216.46,221.9025188,164.4164545,26.90363636
11/1/23,7405902856,5196190182,3642643399,31415854942,7696855519,234970533,55592417431,494.35,80.80090909,131.25,216,209.0402968,175.036,27.30954545
12/1/23,6063815924,3828722176,3788991500,39331697236,6684812979,243954042,59941993857,481.49,75.71,137.547619,229.63,207.3979689,187.8349048,22.14571429
1/1/24,4876296625,2854885830,3167655998,29264439567,9466529933,224202189,49854010142,452.63,77.56507246,136.5869565,226.08,198.7579285,187.1529565,22.47478261
2/1/24,1713086253,6608137654,3001831800,28198174340,5500317553,216807447,45238355047,429.73,80.65619048,125.9285714,219.24,188.9477445,192.116619,23.34190476
3/1/24,427307856,1.26E+10,2673133305,26326250643,7775087637,208655087,50010434528,433.53,84.33365079,110.1904762,211.84,190.2272114,195.9911905,21.76904762
4/1/24,66139351,1.47E+10,1887567353,29633982404,9090236343,254443810,55632369261,427.92,88.39712121,112.2272727,208.38,190.90005,226.0089545,20.64727273
5/1/24,413374720,1.34E+10,2805993941,32648055414,8956388431,244043953,58467856459,447.49,82.55913043,119.2391304,227.43,201.0194705,218.5770435,18.79956522
